## FlyBase Gene Snapshot Report
## Generated: Wed Nov 25 22:32:29 2020
## Using datasource: dbi:Pg:dbname=fb_2020_06_reporting;host=flysql20;port=5432...
## Genes that currently do not have a gene snapshot are included in this file and marked with "Contributions welcome." in the gene_snapshot_text column.

##FBgn_ID	GeneSymbol	GeneName	datestamp	gene_snapshot_text
FBgn0261563	wb	wing blister	20190321	wing blister (wb) encodes one of 2 laminin alpha chains which assembles into a Laminin molecule. Laminin is an extracellular matrix component that interacts with integrins and mediates cell adhesion, guidance, signalling and basement membrane integrity.
FBgn0034232	CG4866	-	-	Contributions welcome.
FBgn0032785	CG10026	-	-	Contributions welcome.
FBgn0032050	CG13096	-	-	Contributions welcome.
FBgn0031815	frj	farjavit	20190307	farjavit (frj) encodes a lysophospholipid acyltransferase that preferentially adds arachidonic acid to lysophosphatidylinositol.
FBgn0031435	Elba2	Early boundary activity 2	20190912	Early boundary activity 2 (Elba2) encodes a chromatin boundary factor involved in the regulation of chromatin silencing.
FBgn0026873	MED18	Mediator complex subunit 18	-	Contributions welcome.
FBgn0031763	CG13996	-	-	Contributions welcome.
FBgn0260228	CG42502	-	-	Contributions welcome.
FBgn0015774	NetB	Netrin-B	-	Contributions welcome.
FBgn0050082	CG30082	-	-	Contributions welcome.
FBgn0003319	Sb	Stubble	-	Contributions welcome.
FBgn0036324	CG12520	-	-	Contributions welcome.
FBgn0028879	CG15270	-	-	Contributions welcome.
FBgn0033188	Drat	Death resistor Adh domain containing target	20190307	Death resistor Adh domain containing target (Drat) encodes a member of the zinc-dependent ADH-like family that is an effector of ethanol-induced apoptosis.
FBgn0035069	CG3611	-	-	Contributions welcome.
FBgn0261631	CG42714	-	-	Contributions welcome.
FBgn0001316	klar	klarsicht	20190314	klarsicht (klar) encodes a member of the Nesprin family that links microtubule motors and various cellular structures. It controls the migration and positioning of nuclei in photoreceptors and muscles. It also regulates the motion of RNP granules in oocytes and lipid droplets in embryos.
FBgn0010403	Obp83b	Odorant-binding protein 83b	-	Contributions welcome.
FBgn0030540	CG11581	-	-	Contributions welcome.
FBgn0003317	sax	saxophone	20190314	saxophone (sax) encodes a type I BMP receptor. Together with the BMP receptors encoded by tkv and put, it transduces signaling of the BMP ligands encoded by dpp, gbb and scw, in a wide variety of developmental processes including embryonic and imaginal disc patterning.
FBgn0250822	CG34222	-	-	Contributions welcome.
FBgn0040502	CG8343	-	-	Contributions welcome.
FBgn0050410	Rpi	Ribose-5-phosphate isomerase	-	Contributions welcome.
FBgn0039210	CG13625	-	-	Contributions welcome.
FBgn0264817	pre-lola-G	pre-lola-G	-	Contributions welcome.
FBgn0023172	RhoGEF2	Rho guanine nucleotide exchange factor 2	20190801	Rho guanine nucleotide exchange factor 2 (RhoGEF2) encodes a protein involved in actin organization and contractility. It contributes to multiple actin-based processes including wound healing, cell shape and cell contraction.
FBgn0263197	Patronin	Patronin	20190516	Patronin (Patronin) encodes a microtubule minus-end binding protein that can promote acentrosomal nucleation of microtubules. Apical localisation of the Patronin product orients microtubules in polarised epithelial cells and in oocytes.
FBgn0033473	CG12128	-	-	Contributions welcome.
FBgn0033428	Urod	Uroporphyrinogen decarboxylase	-	Contributions welcome.
FBgn0031971	Sirup	Starvation-upregulated protein	20190314	Starvation-upregulated protein (Sirup) encodes a critical assembly factor for Complex II in the electron transport chain of mitochondria. Loss of Sirup results in motility defects, neurodegeneration, and oxidative stress.
FBgn0032503	CG16825	-	-	Contributions welcome.
FBgn0035713	velo	veloren	20181018	veloren (velo) encodes a SUMO protease that is required for dendrite and axon targeting of olfactory projection neurons.
FBgn0044051	Ilp1	Insulin-like peptide 1	-	Contributions welcome.
FBgn0013770	Cp1	Cysteine proteinase-1	-	Contributions welcome.
FBgn0260479	CG31904	-	-	Contributions welcome.
FBgn0030057	Ppt1	Palmitoyl-protein thioesterase 1	20190314	Palmitoyl-protein thioesterase 1 (Ppt1) encodes a lysosomal enzyme that removes palmitoyl groups from particular target proteins during protein degradation within the lysosomal compartment. Palmitoylation is critical for the cellular localization and modulation of many signaling proteins.
FBgn0035147	Gale	UDP-galactose 4'-epimerase	20190307	UDP-galactose 4'-epimerase (Gale) encodes an enzyme that contributes to galactose catabolism and  larval lymph gland hemopoiesis. It epimerizes UDP-glucose to UDP-galactose and UDP-N-acetylglucosamine to UDP-N-acetylgalactosamine.
FBgn0266615	CG45122	-	-	Contributions welcome.
FBgn0019929	Ser7	Ser7	-	Contributions welcome.
FBgn0010355	Taf1	TBP-associated factor 1	20190314	TBP-associated factor 1 (Taf1) encodes a component of the evolutionarily conserved general transcription factor TFIID. It regulates transcription by binding the initiator element at transcription start sites and binding acetylated histones via its bromodomains.
FBgn0037436	Hr83	Hormone receptor 83	-	Contributions welcome.
FBgn0039417	CG6073	-	-	Contributions welcome.
FBgn0266539	CG45100	-	-	Contributions welcome.
FBgn0263986	cd	cardinal	20190307	cardinal (cd) encodes a phenoxazinone synthetase involved in the kynurenine pathway. It contributes to ommochrome biosynthesis, neuron death and siRNA-mediated gene silencing.
FBgn0086906	sls	sallimus	20190314	sallimus (sls) encodes a large modular protein present in muscles. It links myosin filaments to the Z-disc.
FBgn0034264	Dlish	Dachs ligand with SH3s	20181018	Dachs ligand with SH3s (Dlish) encodes an adapter protein that can bind to the products of d, ds, and ft. It is required for the normal growth of wings and legs via Dachsous-Fat signaling.
FBgn0031039	Shawn	Shawn	20190912	Shawn (Shawn) encodes a mitochondrial carrier involved in metal homeostasis.
FBgn0038114	CG11670	-	-	Contributions welcome.
FBgn0041579	AttC	Attacin-C	20190307	Attacin-C (AttC) encodes an immune inducible peptide that shows homology to antibacterial peptides having activity against Gram-negative bacteria.
FBgn0032749	Phlpp	PH domain leucine-rich repeat protein phosphatase	20190801	PH domain leucine-rich repeat protein phosphatase (Phlpp) encodes an enzyme involved in apoptosis regulation and tumor growth suppression via dephosphorylation of the product of Akt1.
FBgn0013725	phyl	phyllopod	-	Contributions welcome.
FBgn0264775	CG44013	-	-	Contributions welcome.
FBgn0025387	Alms1b	Alstrom syndrome 1b	-	Contributions welcome.
FBgn0261808	cu	curled	20190919	curled (cu) encodes a NADP/NADPH phosphatase. It is involved in NADP metabolism, mRNA poly(A) tail shortening and response to light. cu mutants has wings curved upward.
FBgn0029707	CG12688	-	-	Contributions welcome.
FBgn0031070	CG12702	-	-	Contributions welcome.
FBgn0004363	porin	porin	20190314	porin (porin) encodes a beta-barrel channel protein localized in the outer membrane of mitochondria that conducts translocation of various ions and metabolites between cytoplasm and mitochondria. It plays roles in mitochondria dynamics and mitophagy, and is ubiquitinated by the E3 ligases encoded by park and Mul1.
FBgn0030483	CG12725	-	-	Contributions welcome.
FBgn0004777	Ccp84Ag	Ccp84Ag	-	Contributions welcome.
FBgn0038002	CG12256	-	-	Contributions welcome.
FBgn0024983	CG4293	-	-	Contributions welcome.
FBgn0004053	zen	zerknullt	-	Contributions welcome.
FBgn0266259	CG44954	-	-	Contributions welcome.
FBgn0262571	CG43111	-	-	Contributions welcome.
FBgn0034121	CG6262	-	-	Contributions welcome.
FBgn0261615	CG42704	-	-	Contributions welcome.
FBgn0054015	CG34015	-	-	Contributions welcome.
FBgn0040296	Ocho	Ocho	-	Contributions welcome.
FBgn0054007	CG34007	-	-	Contributions welcome.
FBgn0034054	CG8366	-	-	Contributions welcome.
FBgn0035710	SP1173	SP1173	-	Contributions welcome.
FBgn0037412	Osi4	Osiris 4	-	Contributions welcome.
FBgn0040837	CG8620	-	-	Contributions welcome.
FBgn0035790	Cyp316a1	Cyp316a1	-	Contributions welcome.
FBgn0032819	CG10463	-	-	Contributions welcome.
FBgn0260392	CG42518	-	-	Contributions welcome.
FBgn0051774	fred	friend of echinoid	20190919	friend of echinoid (fred) encodes a protein involved in cuticle biosynthesis and ommatidial rotation.
FBgn0031476	CG8813	-	-	Contributions welcome.
FBgn0028436	ECSIT	ECSIT	-	Contributions welcome.
FBgn0030016	Or7a	Odorant receptor 7a	20190314	Odorant receptor 7a (Or7a) encodes a multi-transmembrane chemoreceptor that mediates response to volatile chemicals.
FBgn0011676	Nos	Nitric oxide synthase	-	Contributions welcome.
FBgn0000416	Sap-r	Saposin-related	20180906	Saposin-related (Sap-r) encodes the single protein precursor of several sphingolipid activator proteins (Saposins). Loss of Sap-r leads to the accumulation of sphingolipids in lysosomes, resulting in lysosomal dysfunction, defective lipid homeostasis and neurodegeneration.
FBgn0010295	ng3	new glue 3	-	Contributions welcome.
FBgn0028567	robl62A	robl62A	-	Contributions welcome.
FBgn0002855	Acp26Aa	Accessory gland protein 26Aa	20190307	Accessory gland protein 26Aa (Acp26Aa) encodes a protein synthesized in male accessory glands. It is transferred during mating to females where it induces an increase in ovulation by relaxing the oviduct via activation of octopaminergic signaling.
FBgn0024294	Spn43Aa	Serpin 43Aa	-	Contributions welcome.
FBgn0036317	CG10948	-	-	Contributions welcome.
FBgn0004892	sob	sister of odd and bowl	-	Contributions welcome.
FBgn0015576	alpha-Est8	alpha-Esterase-8	-	Contributions welcome.
FBgn0033830	CG10814	-	-	Contributions welcome.
FBgn0038157	CG12538	-	-	Contributions welcome.
FBgn0031307	MFS3	Major Facilitator Superfamily Transporter 3	-	Contributions welcome.
FBgn0034263	CG10934	-	-	Contributions welcome.
FBgn0062449	CG13197	-	-	Contributions welcome.
FBgn0050020	CG30020	-	-	Contributions welcome.
FBgn0250851	CG33981	-	-	Contributions welcome.
FBgn0250849	CG32388	-	-	Contributions welcome.
FBgn0031693	Cyp4ac1	Cyp4ac1	-	Contributions welcome.
FBgn0004657	mys	myospheroid	20190314	myospheroid (mys) encodes a beta subunit of the integrin dimer. Integrin transmembrane receptors function as a link for the extracellular matrix and the intracellular actin cytoskeleton. The product of mys acts as adhesion/signaling protein regulating cellular adhesion, migration and survival.
FBgn0023527	CG3071	-	-	Contributions welcome.
FBgn0032740	CG15172	-	-	Contributions welcome.
FBgn0050265	CG30265	-	-	Contributions welcome.
FBgn0045482	Gr59b	Gustatory receptor 59b	-	Contributions welcome.
FBgn0011277	HLH4C	Helix loop helix protein 4C	-	Contributions welcome.
FBgn0036036	CG14174	-	-	Contributions welcome.
FBgn0050125	Ir56a	Ionotropic receptor 56a	-	Contributions welcome.
FBgn0003023	otu	ovarian tumor	-	Contributions welcome.
FBgn0030478	CG1640	-	-	Contributions welcome.
FBgn0040093	lectin-46Ca	lectin-46Ca	20190314	lectin-46Ca (lectin-46Ca) encodes a protein with homology to C-type lectins. It is produced in the male accessory gland and transferred to females during mating. In mated females, it binds to sperm in the seminal receptacle. It is required for the binding of the product of SP to sperm, and for maintenance of long-term post-mating responses.
FBgn0026761	Trap1	Trap1	20190314	Trap1 (Trap1) encodes a mitochondrial chaperone protein of the heat shock protein (HSP90) family. It shows an ATPase activity and is involved in neurodegeneration associated with mitochondrial dysfunction.
FBgn0041236	Gr59d	Gustatory receptor 59d	-	Contributions welcome.
FBgn0038531	CG14325	-	-	Contributions welcome.
FBgn0050379	CG30379	-	-	Contributions welcome.
FBgn0030163	CG1791	-	-	Contributions welcome.
FBgn0052463	Tengl2	Testis EndoG-Like 2	-	Contributions welcome.
FBgn0259989	CG42486	-	-	Contributions welcome.
FBgn0030347	CG15739	-	-	Contributions welcome.
FBgn0259185	Ir60b	Ionotropic receptor 60b	-	Contributions welcome.
FBgn0033422	Or45b	Odorant receptor 45b	20190314	Odorant receptor 45b (Or45b) encodes a multi-transmembrane chemoreceptor that mediates response to volatile chemicals.
FBgn0031091	Phf7	PHD finger protein 7	-	Contributions welcome.
FBgn0034047	CG12970	-	-	Contributions welcome.
FBgn0050378	CG30378	-	-	Contributions welcome.
FBgn0031631	CG3225	-	-	Contributions welcome.
FBgn0037857	Tengl4	Testis EndoG-Like 4	-	Contributions welcome.
FBgn0052079	CG32079	-	-	Contributions welcome.
FBgn0034284	CG14491	-	-	Contributions welcome.
FBgn0034283	CG14492	-	-	Contributions welcome.
FBgn0031229	CG3436	-	-	Contributions welcome.
FBgn0263391	hts	hu li tai shao	20190307	hu li tai shao (hts) encodes an adducin homolog that is associated with the plasma membrane cytoskeleton, fusome and oocyte ring canals. It has essential functions in muscle, nerve and other tissues, and is required for fertility in males and females.
FBgn0029928	CG3032	-	-	Contributions welcome.
FBgn0030485	CG1998	-	-	Contributions welcome.
FBgn0052057	dpr10	defective proboscis extension response 10	-	Contributions welcome.
FBgn0025633	CG13366	-	-	Contributions welcome.
FBgn0027621	Pfrx	6-phosphofructo-2-kinase	-	Contributions welcome.
FBgn0014388	sty	sprouty	-	Contributions welcome.
FBgn0030570	CG12540	-	-	Contributions welcome.
FBgn0031423	CG3557	-	-	Contributions welcome.
FBgn0031559	CG3513	-	-	Contributions welcome.
FBgn0052137	CG32137	-	-	Contributions welcome.
FBgn0264295	CG43773	-	-	Contributions welcome.
FBgn0003312	sad	shadow	20190314	shadow (sad) encodes a cytochrome P450 involved in ecdysteroid biosynthesis. It shows a mitochondrial localization and catalyzes the addition of a hydroxyl group to the 2 carbon of the cholesterol ring. sad mutants fail to undergo head involution, dorsal closure or to secrete cuticle.
FBgn0037987	CG14739	-	-	Contributions welcome.
FBgn0032867	CG15475	-	-	Contributions welcome.
FBgn0001978	stc	shuttle craft	20180913	shuttle craft (stc) encodes a zinc finger transcription factor of the NFX1 family. Maternally contributed protein is essential for segmentation. During the late stages of embryonic neurogenesis, zygotically expressed stc product is involved in axon guidance, which is vital for proper muscle innervation. stc expression in the embryo is important for the adult life span and aging.
FBgn0032731	Swip-1	Swiprosin-1	20190314	Swiprosin-1 (Swip-1) encodes a calcium binding protein, expressed in fusion competent myoblasts and macrophages of the embryo.
FBgn0038266	CG3610	-	-	Contributions welcome.
FBgn0029589	CG14810	-	-	Contributions welcome.
FBgn0000047	Act88F	Actin 88F	-	Contributions welcome.
FBgn0035515	CG14997	-	-	Contributions welcome.
FBgn0041624	Or65b	Odorant receptor 65b	-	Contributions welcome.
FBgn0052440	CG32440	-	-	Contributions welcome.
FBgn0038704	CG5316	-	-	Contributions welcome.
FBgn0030578	CG5347	-	-	Contributions welcome.
FBgn0052521	CG32521	-	-	Contributions welcome.
FBgn0054030	CG34030	-	-	Contributions welcome.
FBgn0031333	CG5561	-	-	Contributions welcome.
FBgn0028422	GluRIID	Glutamate receptor IID	20190912	Glutamate receptor IID (GluRIID) encodes a subunit of the muscle glutamate receptor that responds to neurotransmitter at the neuromuscular junction.
FBgn0039551	Or98a	Odorant receptor 98a	20190314	Odorant receptor 98a (Or98a) encodes a multi-transmembrane chemoreceptor that mediates response to volatile chemicals.
FBgn0035641	CG5568	-	-	Contributions welcome.
FBgn0029820	CG16721	-	-	Contributions welcome.
FBgn0031724	CG18266	-	-	Contributions welcome.
FBgn0085362	Vml	Vitelline membrane-like	20190321	Vitelline membrane-like (Vml) encodes a structural component of the vitelline membrane. It forms part of a localized structural signal that controls the formation and polarity of the dorsal-ventral axis of the embryo.
FBgn0032095	Toll-4	Toll-4	20181115	Toll-4 (Toll-4) encodes a putative transmembrane protein related to Toll by virtue of containing intracellular TIR domain and extracellular Leucine-rich repeats. It is expressed in the apical part of the embryonic lymph gland precursors.
FBgn0039679	ppk19	pickpocket 19	20190321	pickpocket 19 (ppk19) encodes a predicted member of the Degenerin/Epithelial Sodium Channel family protein. In the larval stage, it is expressed in the terminal organ for salt taste and tracheal cells for liquid clearance. In the adult stage it functions in salt taste likely through its expression in the chemical-sensing epithelia in the leg segment and wing blade.
FBgn0032666	CG5758	-	20190307	CG5758 encodes a predicted secreted protein with beta-Ig-H3/fasciclin domains. CG5758 overexpression causes lethality and wing adhesion defects.
FBgn0035795	CG16998	-	-	Contributions welcome.
FBgn0265146	CG44215	-	-	Contributions welcome.
FBgn0045442	mthl12	methuselah-like 12	-	Contributions welcome.
FBgn0053192	MtnD	Metallothionein D	20190314	Metallothionein D (MtnD) encodes a member of the Metallothionein family whose transcription is strongly inducible by copper and cadmium ions. Its induction depends on the transcription factor encoded by MTF-1.
FBgn0034483	CG16894	-	-	Contributions welcome.
FBgn0035968	Slc45-1	Solute carrier family 45 member 1	20181018	Solute carrier family 45 member 1 (Slc45-1) encodes a proton/sucrose symporter occuring in apical membranes of the late embryonic hindgut as well as in vesicular membranes of ovarian follicle cells. It may either serve as an osmolyte transporter or be responsible for the resorption of sucrose.
FBgn0034292	CG5767	-	-	Contributions welcome.
FBgn0026392	Or33a	Odorant receptor 33a	20190314	Odorant receptor 33a (Or33a) encodes a multi-transmembrane chemoreceptor that mediates response to volatile chemicals.
FBgn0038583	CG7183	-	-	Contributions welcome.
FBgn0034324	CG18538	-	-	Contributions welcome.
FBgn0037812	CG18545	-	-	Contributions welcome.
FBgn0041710	yellow-f	yellow-f	-	Contributions welcome.
FBgn0036991	CtIP	CTBP-interacting protein	-	Contributions welcome.
FBgn0000256	capu	cappuccino	20190307	cappuccino (capu) encodes a formin family protein that nucleates actin filaments and accelerates their elongation. It works with the product of spir to build an actin mesh that fills the oocyte during mid-oogenesis. capu is necessary for polarity establishment and female fertility.
FBgn0038098	CG7381	-	-	Contributions welcome.
FBgn0040508	ACXC	Adenylyl cyclase X C	-	Contributions welcome.
FBgn0036751	Adgf-B	Adenosine deaminase-related growth factor B	-	Contributions welcome.
FBgn0028468	rtet	tetracycline resistance	-	Contributions welcome.
FBgn0035855	CG7366	-	-	Contributions welcome.
FBgn0036237	viaf	viral IAP-associated factor	-	Contributions welcome.
FBgn0014850	Eig71Ej	Eig71Ej	-	Contributions welcome.
FBgn0035575	CG7509	-	-	Contributions welcome.
FBgn0035887	Jon66Cii	Jonah 66Cii	-	Contributions welcome.
FBgn0041231	Gr68a	Gustatory receptor 68a	20190307	Gustatory receptor 68a (Gr68a) encodes a member of the seven-transmembrane chemoreceptor family expressed in gustatory sensilla receptor neurons. It mediates courtship behavior and functions as a sensor for sex pheromones and mechanosensory stimuli.
FBgn0036217	CG5906	-	-	Contributions welcome.
FBgn0260451	CG14042	-	-	Contributions welcome.
FBgn0029771	CG12730	-	-	Contributions welcome.
FBgn0030614	CG9072	-	-	Contributions welcome.
FBgn0038565	CG7794	-	-	Contributions welcome.
FBgn0029154	Menl-1	Malic enzyme like-1	-	Contributions welcome.
FBgn0033038	CG7791	-	-	Contributions welcome.
FBgn0034427	CG10474	-	-	Contributions welcome.
FBgn0085476	CG34447	-	-	Contributions welcome.
FBgn0037749	CG9471	-	-	Contributions welcome.
FBgn0031516	CG9663	-	-	Contributions welcome.
FBgn0029669	CG13021	-	-	Contributions welcome.
FBgn0026384	Or59a	Odorant receptor 59a	20190314	Odorant receptor 59a (Or59a) encodes a multi-transmembrane chemoreceptor that mediates response to volatile chemicals.
FBgn0045498	Gr22d	Gustatory receptor 22d	20190307	Gustatory receptor 22d (Gr22d) encodes a transmembrane domain protein unrelated to GPCRs that is predicted to mediate response to non-volatile compounds.
FBgn0037594	Or85d	Odorant receptor 85d	-	Contributions welcome.
FBgn0033732	CG13157	-	-	Contributions welcome.
FBgn0037656	CG11986	-	-	Contributions welcome.
FBgn0035708	axed	axundead	-	Contributions welcome.
FBgn0039629	CG11842	-	-	Contributions welcome.
FBgn0010333	Rac1	Rac1	-	Contributions welcome.
FBgn0026380	Prosbeta3	Proteasome beta3 subunit	-	Contributions welcome.
FBgn0267905	CG46193	-	-	Contributions welcome.
FBgn0027280	l(1)G0193	lethal (1) G0193	-	Contributions welcome.
FBgn0038931	CG13407	-	-	Contributions welcome.
FBgn0067317	Cby	Chibby	20190912	Chibby (Cby) encodes a protein involved in ciliogenesis and basal body transition zone formation.
FBgn0011824	CG4038	-	-	Contributions welcome.
FBgn0051199	CG31199	-	-	Contributions welcome.
FBgn0035572	CG13711	-	-	Contributions welcome.
FBgn0041229	Gr93a	Gustatory receptor 93a	-	Contributions welcome.
FBgn0041240	Gr57a	Gustatory receptor 57a	-	Contributions welcome.
FBgn0035041	CG13594	-	-	Contributions welcome.
FBgn0035012	CG13590	-	-	Contributions welcome.
FBgn0034770	Obp58d	Odorant-binding protein 58d	-	Contributions welcome.
FBgn0051019	CG31019	-	-	Contributions welcome.
FBgn0035518	CG15011	-	-	Contributions welcome.
FBgn0038818	Nep4	Neprilysin 4	20190314	Neprilysin 4 (Nep4) encodes a metallopeptidase considered to cleave and thus inactivate signaling peptides in the extracellular space. It contributes to muscle integrity and male fertility.
FBgn0017572	Mo25	Mo25	20190314	Mo25 (Mo25) encodes a protein involved in neuroblast asymmetric cell divisions via localization of the product of mira. It physically interacts with the kinase encoded by Lkb1.
FBgn0039135	CG13603	-	-	Contributions welcome.
FBgn0039219	CG13630	-	-	Contributions welcome.
FBgn0023081	gek	genghis khan	-	Contributions welcome.
FBgn0045469	Gr93c	Gustatory receptor 93c	-	Contributions welcome.
